frame_id,scenario,timestamp,detection_latency_ms,fps,object_count
1,S5,2026-06-09T15:00:38.065Z,30.04,30.0,3
2,S5,2026-06-09T15:00:38.091Z,23.45,30.0,3
3,S5,2026-06-09T15:00:38.125Z,24.47,30.0,3
4,S5,2026-06-09T15:00:38.158Z,23.34,30.0,3
5,S5,2026-06-09T15:00:38.191Z,24.43,30.0,3
6,S5,2026-06-09T15:00:38.225Z,24.58,30.0,3
7,S5,2026-06-09T15:00:38.258Z,24.64,30.0,3
8,S5,2026-06-09T15:00:38.291Z,24.74,30.0,3
9,S5,2026-06-09T15:00:38.325Z,23.38,30.0,4
10,S5,2026-06-09T15:00:38.358Z,23.28,30.0,4
11,S5,2026-06-09T15:00:38.391Z,24.77,30.0,4
12,S5,2026-06-09T15:00:38.425Z,24.10,30.0,4
13,S5,2026-06-09T15:00:38.458Z,24.63,30.0,4
14,S5,2026-06-09T15:00:38.492Z,24.48,30.0,4
15,S5,2026-06-09T15:00:38.525Z,24.47,30.0,4
16,S5,2026-06-09T15:00:38.558Z,24.54,30.0,4
17,S5,2026-06-09T15:00:38.591Z,24.39,30.0,4
18,S5,2026-06-09T15:00:38.625Z,23.41,30.0,4
19,S5,2026-06-09T15:00:38.658Z,23.38,30.0,4
20,S5,2026-06-09T15:00:38.692Z,23.41,30.0,4
21,S5,2026-06-09T15:00:38.725Z,23.28,30.0,4
22,S5,2026-06-09T15:00:38.758Z,24.48,30.0,4
23,S5,2026-06-09T15:00:38.792Z,24.45,30.0,4
24,S5,2026-06-09T15:00:38.825Z,24.40,30.0,4
25,S5,2026-06-09T15:00:38.858Z,23.39,30.0,4
26,S5,2026-06-09T15:00:38.892Z,24.41,30.0,3
27,S5,2026-06-09T15:00:38.925Z,23.44,30.0,3
28,S5,2026-06-09T15:00:38.958Z,24.38,30.0,3
29,S5,2026-06-09T15:00:38.992Z,24.43,30.0,3
30,S5,2026-06-09T15:00:39.025Z,24.45,30.0,3
31,S5,2026-06-09T15:00:39.058Z,23.28,30.0,3
32,S5,2026-06-09T15:00:39.092Z,24.52,30.0,3
33,S5,2026-06-09T15:00:39.125Z,23.47,30.0,3
34,S5,2026-06-09T15:00:39.158Z,23.40,30.0,3
35,S5,2026-06-09T15:00:39.192Z,24.43,30.0,3
36,S5,2026-06-09T15:00:39.225Z,23.36,30.0,3
37,S5,2026-06-09T15:00:39.258Z,24.86,30.0,3
38,S5,2026-06-09T15:00:39.292Z,24.44,30.0,3
39,S5,2026-06-09T15:00:39.325Z,24.54,30.0,3
40,S5,2026-06-09T15:00:39.358Z,24.45,30.0,3
41,S5,2026-06-09T15:00:39.392Z,24.43,30.0,3
42,S5,2026-06-09T15:00:39.425Z,24.39,30.0,3
43,S5,2026-06-09T15:00:39.462Z,27.12,29.9,3
44,S5,2026-06-09T15:00:39.492Z,23.67,29.9,3
45,S5,2026-06-09T15:00:39.525Z,24.58,29.9,3
46,S5,2026-06-09T15:00:39.559Z,23.53,29.9,3
47,S5,2026-06-09T15:00:39.592Z,24.44,29.9,3
48,S5,2026-06-09T15:00:39.625Z,24.47,29.9,3
49,S5,2026-06-09T15:00:39.658Z,24.46,29.9,3
50,S5,2026-06-09T15:00:39.692Z,24.44,29.9,3
51,S5,2026-06-09T15:00:39.725Z,24.57,29.9,3
52,S5,2026-06-09T15:00:39.758Z,24.38,29.9,3
53,S5,2026-06-09T15:00:39.792Z,24.45,29.9,3
54,S5,2026-06-09T15:00:39.825Z,24.43,29.9,3
55,S5,2026-06-09T15:00:39.858Z,24.46,29.9,3
56,S5,2026-06-09T15:00:39.892Z,24.53,29.9,3
57,S5,2026-06-09T15:00:39.925Z,24.48,29.9,3
58,S5,2026-06-09T15:00:39.958Z,24.57,29.9,3
59,S5,2026-06-09T15:00:39.992Z,23.48,29.9,3
60,S5,2026-06-09T15:00:40.025Z,23.50,29.9,3
61,S5,2026-06-09T15:00:40.058Z,23.36,29.9,3
62,S5,2026-06-09T15:00:40.092Z,24.36,29.9,3
63,S5,2026-06-09T15:00:40.125Z,23.46,29.9,3
64,S5,2026-06-09T15:00:40.158Z,24.41,29.9,3
65,S5,2026-06-09T15:00:40.192Z,24.41,29.9,3
66,S5,2026-06-09T15:00:40.225Z,24.54,29.9,3
67,S5,2026-06-09T15:00:40.258Z,24.44,29.9,3
68,S5,2026-06-09T15:00:40.292Z,24.52,29.9,3
69,S5,2026-06-09T15:00:40.325Z,24.40,29.9,3
70,S5,2026-06-09T15:00:40.358Z,24.44,29.9,3
71,S5,2026-06-09T15:00:40.392Z,23.36,29.9,3
72,S5,2026-06-09T15:00:40.425Z,23.43,29.9,3
73,S5,2026-06-09T15:00:40.459Z,23.35,29.9,3
74,S5,2026-06-09T15:00:40.492Z,24.42,30.1,3
75,S5,2026-06-09T15:00:40.525Z,24.27,30.1,3
76,S5,2026-06-09T15:00:40.558Z,24.43,30.1,3
77,S5,2026-06-09T15:00:40.592Z,23.55,30.1,3
78,S5,2026-06-09T15:00:40.625Z,24.38,30.1,3
79,S5,2026-06-09T15:00:40.659Z,24.44,30.1,3
80,S5,2026-06-09T15:00:40.692Z,23.41,30.1,3
81,S5,2026-06-09T15:00:40.725Z,24.52,30.1,3
82,S5,2026-06-09T15:00:40.759Z,24.28,30.1,3
83,S5,2026-06-09T15:00:40.792Z,23.50,30.1,3
84,S5,2026-06-09T15:00:40.825Z,23.51,30.1,3
85,S5,2026-06-09T15:00:40.859Z,23.40,30.1,3
86,S5,2026-06-09T15:00:40.892Z,24.51,30.1,3
87,S5,2026-06-09T15:00:40.925Z,24.42,30.1,3
88,S5,2026-06-09T15:00:40.959Z,24.42,30.1,3
89,S5,2026-06-09T15:00:40.992Z,24.46,30.1,3
90,S5,2026-06-09T15:00:41.025Z,24.58,30.1,3
91,S5,2026-06-09T15:00:41.059Z,24.48,30.1,3
92,S5,2026-06-09T15:00:41.092Z,23.58,30.1,3
93,S5,2026-06-09T15:00:41.125Z,24.41,30.1,3
94,S5,2026-06-09T15:00:41.159Z,24.46,30.1,3
95,S5,2026-06-09T15:00:41.192Z,24.40,30.1,3
96,S5,2026-06-09T15:00:41.225Z,24.37,30.1,3
97,S5,2026-06-09T15:00:41.259Z,23.96,30.1,3
98,S5,2026-06-09T15:00:41.292Z,24.52,30.1,3
99,S5,2026-06-09T15:00:41.325Z,24.58,30.1,3
