participant,condition_order_first,condition_order_second,order_assignment,calibrated_step_length_m,experiment_date
P1,steps,metres,fixed,0.49,2026-06-03
P2,metres,steps,fixed,0.45,2026-06-10
P3,steps,metres,fixed,0.51,2026-06-14
P4,metres,steps,fixed,0.58,2026-06-14
P5,steps,metres,random (coin flip result: steps first),0.49,2026-06-14
