frame_id,scenario,timestamp,detection_latency_ms,fps,object_count
1,S4,2026-06-09T14:54:49.835Z,30.17,30.5,3
2,S4,2026-06-09T14:54:49.849Z,12.59,30.5,3
3,S4,2026-06-09T14:54:49.878Z,23.80,30.5,3
4,S4,2026-06-09T14:54:49.911Z,24.48,30.5,3
5,S4,2026-06-09T14:54:49.933Z,11.26,30.5,3
6,S4,2026-06-09T14:54:49.961Z,23.43,30.5,3
7,S4,2026-06-09T14:54:49.995Z,24.37,30.5,3
8,S4,2026-06-09T14:54:50.028Z,23.29,30.5,3
9,S4,2026-06-09T14:54:50.061Z,23.24,30.5,3
10,S4,2026-06-09T14:54:50.095Z,24.47,30.5,3
11,S4,2026-06-09T14:54:50.128Z,23.34,30.5,3
12,S4,2026-06-09T14:54:50.161Z,23.37,30.5,3
13,S4,2026-06-09T14:54:50.195Z,23.33,30.5,3
14,S4,2026-06-09T14:54:50.228Z,20.62,30.5,3
15,S4,2026-06-09T14:54:50.261Z,24.55,30.5,3
16,S4,2026-06-09T14:54:50.295Z,24.44,30.5,3
17,S4,2026-06-09T14:54:50.328Z,24.43,30.5,3
18,S4,2026-06-09T14:54:50.361Z,23.29,30.5,3
19,S4,2026-06-09T14:54:50.395Z,23.40,30.5,3
20,S4,2026-06-09T14:54:50.428Z,22.76,30.5,3
21,S4,2026-06-09T14:54:50.461Z,24.31,30.5,3
22,S4,2026-06-09T14:54:50.495Z,23.33,30.5,3
23,S4,2026-06-09T14:54:50.528Z,24.47,30.5,3
24,S4,2026-06-09T14:54:50.561Z,23.37,30.5,3
25,S4,2026-06-09T14:54:50.595Z,23.30,30.5,3
26,S4,2026-06-09T14:54:50.628Z,23.37,31.5,3
27,S4,2026-06-09T14:54:50.650Z,12.63,31.5,3
28,S4,2026-06-09T14:54:50.680Z,25.02,31.5,3
29,S4,2026-06-09T14:54:50.712Z,23.36,31.5,3
30,S4,2026-06-09T14:54:50.745Z,24.77,31.5,3
31,S4,2026-06-09T14:54:50.780Z,26.71,31.5,3
